symbol,current_price,volume,market_cap,change,percent_change,moving_average
MAKE,3000.0,0,-,0.0,0.0,
VLTRF,-,-,-,0.0,0.0,0.0
WLDS,3.880000114440918,21000,4740972,-0.11,-2.76,
GEF,64.12999725341797,223100,3124625152,-0.91,-1.4,
ATLKY,17.219999313354492,330400,81187479552,-0.07,-0.4,
IDXX,453.3800048828125,993600,37315850240,-2.64,-0.58,
IMRSQ,-,-,-,0.0,0.0,0.0
FORM,44.119998931884766,382100,3414420224,0.32,0.73,
ICLD,9.999999747378752e-05,0,2168870,0.0,0.0,
RJIFF,0.18000000715255737,0,414930592,0.0,0.0,
